A40926|BGC0000289.1|CAD91211.1|dbv16_A1|Dpg|A7
KC688274|Streptomyces|AGO98982.1|_A1|Ala|A1,0.653,0.696,0.679,0.705,0.714,0.723,0.733,0.653,0.662,0.742,0.742,0.688,0.723,0.705,0.705,0.645,0.679,0.723,0.723,0.696,0.662,0.662,0.688,0.344,0.344,0.373,0.328,0.328,0.356,0.356
KF264565|Uncultured|AGS49961.1|_A1|Ala|A1,0.628,0.679,0.645,0.679,0.688,0.696,0.714,0.628,0.662,0.723,0.723,0.67,0.662,0.688,0.688,0.604,0.636,0.67,0.67,0.705,0.653,0.653,0.653,0.322,0.339,0.361,0.322,0.322,0.356,0.328,0.106
Pekiskomycin|JX026280|AGF91753.1|pek18_A1|Ala|A1,0.636,0.679,0.662,0.688,0.696,0.696,0.723,0.636,0.67,0.733,0.733,0.67,0.662,0.679,0.679,0.612,0.645,0.67,0.67,0.733,0.662,0.662,0.662,0.286,0.296,0.333,0.291,0.291,0.306,0.312,0.113,0.055
MUXN01000025|Amycolatopsis|B0293_33415|_A1|Hpg|A1,0.5,0.521,0.536,0.521,0.543,0.543,0.588,0.521,0.528,0.573,0.573,0.528,0.514,0.507,0.507,0.473,0.466,0.528,0.5,0.543,0.479,0.479,0.521,0.344,0.301,0.35,0.312,0.312,0.306,0.223,0.328,0.328,0.317
ANMG01000033|ANMG01000033|EMD26449.1|_A1|Hpg|A1,0.5,0.521,0.536,0.521,0.543,0.543,0.588,0.521,0.528,0.573,0.573,0.528,0.514,0.507,0.507,0.473,0.466,0.528,0.5,0.543,0.479,0.479,0.521,0.344,0.301,0.35,0.312,0.312,0.306,0.223,0.328,0.328,0.317,0
Ristomycin|BGC0000419.1|AIG79243.1|_A1|Hpg|A1,0.507,0.521,0.536,0.543,0.543,0.543,0.573,0.521,0.528,0.573,0.573,0.514,0.558,0.528,0.528,0.507,0.507,0.558,0.543,0.588,0.55,0.55,0.521,0.317,0.301,0.35,0.322,0.322,0.322,0.209,0.296,0.281,0.271,0.161,0.161
Ristocetin|BGC0000418.1|AIE77057.1|_A1|Hpg|A1,0.55,0.588,0.596,0.588,0.588,0.588,0.612,0.558,0.565,0.596,0.596,0.55,0.588,0.558,0.558,0.55,0.55,0.604,0.596,0.62,0.565,0.565,0.573,0.322,0.306,0.35,0.317,0.317,0.322,0.223,0.281,0.286,0.271,0.157,0.157,0.049
MQUQ01000006|Amycolatopsis|BS329_14150|_A1|Hpg|A1,0.486,0.521,0.514,0.521,0.521,0.521,0.536,0.486,0.493,0.55,0.55,0.507,0.528,0.507,0.507,0.479,0.473,0.536,0.514,0.521,0.507,0.507,0.514,0.301,0.312,0.339,0.286,0.286,0.333,0.2,0.333,0.339,0.328,0.174,0.174,0.191,0.187
A47934|BGC0000290.1|AAM80539.1|_A1|Hpg|A1,0.543,0.596,0.596,0.596,0.612,0.612,0.628,0.573,0.588,0.636,0.636,0.58,0.628,0.588,0.588,0.565,0.565,0.645,0.62,0.573,0.565,0.565,0.573,0.291,0.281,0.312,0.261,0.261,0.246,0.232,0.286,0.312,0.306,0.213,0.213,0.227,0.232,0.213
A40926|BGC0000289.1|CAD91220.1|dbv25_A1|Hpg|A1,0.573,0.612,0.62,0.62,0.628,0.628,0.636,0.588,0.604,0.653,0.653,0.588,0.628,0.573,0.573,0.565,0.55,0.62,0.596,0.604,0.573,0.573,0.58,0.281,0.286,0.333,0.237,0.237,0.291,0.241,0.281,0.286,0.276,0.227,0.227,0.223,0.218,0.2,0.149
HM486075|Uncultured|ADU56088.1|_A1|Hpg|A1,0.536,0.58,0.573,0.58,0.58,0.58,0.62,0.558,0.58,0.636,0.636,0.588,0.573,0.573,0.573,0.528,0.536,0.596,0.573,0.58,0.521,0.521,0.543,0.266,0.251,0.286,0.256,0.256,0.271,0.182,0.237,0.237,0.213,0.178,0.178,0.178,0.165,0.161,0.17,0.141
EU874253|Uncultured|ACJ60988.1|teg5_A1|Hpg|A1,0.573,0.58,0.588,0.604,0.604,0.604,0.62,0.573,0.604,0.636,0.636,0.588,0.604,0.596,0.596,0.543,0.543,0.612,0.588,0.596,0.565,0.565,0.588,0.261,0.237,0.266,0.246,0.246,0.246,0.2,0.246,0.251,0.223,0.17,0.17,0.2,0.182,0.17,0.149,0.125,0.08
AJ632270|Actinoplanes|CAG15009.1|teiA_A1|Hpg|A1,0.543,0.573,0.604,0.62,0.628,0.628,0.62,0.558,0.573,0.628,0.628,0.58,0.596,0.558,0.558,0.521,0.543,0.596,0.573,0.543,0.521,0.521,0.507,0.291,0.281,0.317,0.251,0.251,0.276,0.246,0.276,0.301,0.276,0.196,0.196,0.196,0.196,0.196,0.149,0.133,0.133,0.129
Teicoplanin|BGC0000440.1|CAE53350.1|tcp9_A1|Hpg|A1,0.543,0.573,0.604,0.62,0.628,0.628,0.62,0.558,0.573,0.628,0.628,0.58,0.596,0.558,0.558,0.521,0.543,0.596,0.573,0.543,0.521,0.521,0.507,0.291,0.281,0.317,0.251,0.251,0.276,0.246,0.276,0.301,0.276,0.196,0.196,0.196,0.196,0.196,0.149,0.133,0.133,0.129,0
UK-68597|BGC0001178.1|AGS77307.1|_A1|Hpg|A1,0.514,0.573,0.573,0.588,0.596,0.596,0.596,0.543,0.55,0.636,0.636,0.573,0.596,0.58,0.58,0.528,0.536,0.596,0.596,0.543,0.558,0.558,0.521,0.266,0.256,0.301,0.286,0.286,0.266,0.241,0.237,0.223,0.227,0.223,0.223,0.213,0.223,0.196,0.165,0.153,0.137,0.129,0.125,0.125
ANMG01000033|ANMG01000033|EMD26450.1|_A1|Dpg|A3,0.62,0.596,0.565,0.558,0.58,0.573,0.636,0.573,0.58,0.612,0.612,0.565,0.58,0.588,0.588,0.565,0.565,0.596,0.558,0.612,0.588,0.588,0.612,0.604,0.58,0.612,0.588,0.588,0.636,0.521,0.67,0.653,0.636,0.543,0.543,0.604,0.628,0.543,0.58,0.588,0.543,0.596,0.612,0.612,0.565
A40926|BGC0000289.1|CAD91221.1|dbv26_A1|Dpg|A3,0.486,0.479,0.459,0.479,0.5,0.5,0.543,0.466,0.473,0.521,0.521,0.473,0.5,0.486,0.486,0.473,0.473,0.507,0.479,0.507,0.493,0.493,0.521,0.543,0.507,0.536,0.507,0.507,0.558,0.403,0.588,0.565,0.558,0.446,0.446,0.479,0.521,0.434,0.466,0.486,0.421,0.466,0.486,0.486,0.479,0.17
Ristocetin|BGC0000418.1|AIE77058.1|_A1|Dpg|A3,0.596,0.596,0.573,0.58,0.588,0.588,0.653,0.58,0.596,0.628,0.628,0.573,0.628,0.604,0.604,0.62,0.588,0.653,0.604,0.62,0.573,0.573,0.62,0.645,0.612,0.696,0.662,0.662,0.653,0.565,0.688,0.696,0.67,0.58,0.58,0.588,0.636,0.596,0.596,0.636,0.55,0.604,0.653,0.653,0.604,0.296,0.286
LIWC01000005|Amycolatopsis|OKJ93283.1|_A1|Dpg|A1,0.612,0.604,0.58,0.588,0.596,0.596,0.67,0.596,0.612,0.653,0.653,0.588,0.636,0.604,0.604,0.612,0.596,0.662,0.612,0.62,0.565,0.565,0.612,0.636,0.596,0.688,0.645,0.645,0.636,0.55,0.67,0.679,0.653,0.565,0.565,0.565,0.62,0.588,0.58,0.62,0.536,0.588,0.636,0.636,0.588,0.291,0.286,0.016
Ristomycin|BGC0000419.1|AIG79242.1|_A1|Dpg|A3,0.604,0.596,0.573,0.58,0.588,0.588,0.662,0.588,0.604,0.645,0.645,0.58,0.628,0.596,0.596,0.604,0.588,0.653,0.604,0.612,0.558,0.558,0.604,0.628,0.596,0.679,0.645,0.645,0.636,0.55,0.662,0.67,0.645,0.558,0.558,0.565,0.612,0.58,0.58,0.612,0.528,0.58,0.628,0.628,0.58,0.286,0.276,0.016,0.006
A47934|BGC0000290.1|AAM80538.1|_A1|Dpg|A3,0.573,0.573,0.528,0.528,0.55,0.55,0.536,0.514,0.528,0.58,0.58,0.507,0.588,0.543,0.543,0.565,0.528,0.565,0.558,0.573,0.543,0.543,0.604,0.604,0.558,0.58,0.543,0.543,0.604,0.459,0.628,0.636,0.62,0.528,0.528,0.536,0.573,0.479,0.5,0.543,0.486,0.514,0.543,0.543,0.528,0.191,0.178,0.256,0.256,0.246
HM486075|Uncultured|ADU56089.1|_A1|Dpg|A3,0.558,0.543,0.521,0.536,0.558,0.558,0.604,0.528,0.536,0.58,0.58,0.543,0.596,0.558,0.558,0.573,0.565,0.604,0.573,0.565,0.558,0.558,0.604,0.573,0.536,0.58,0.55,0.55,0.58,0.479,0.62,0.628,0.604,0.521,0.521,0.521,0.558,0.479,0.507,0.558,0.473,0.507,0.55,0.55,0.521,0.209,0.161,0.161,0.17,0.161,0.149
EU874253|Uncultured|ACJ60989.1|teg6_A1|Dpg|A3,0.58,0.58,0.543,0.573,0.596,0.596,0.628,0.55,0.573,0.612,0.612,0.573,0.62,0.58,0.58,0.588,0.588,0.628,0.596,0.604,0.565,0.565,0.62,0.612,0.573,0.604,0.58,0.58,0.596,0.521,0.636,0.636,0.612,0.543,0.543,0.55,0.596,0.514,0.536,0.58,0.493,0.528,0.58,0.58,0.528,0.237,0.191,0.178,0.178,0.17,0.191,0.076
UK-68597|BGC0001178.1|AGS77308.1|_A1|Dpg|A3,0.58,0.573,0.528,0.507,0.528,0.528,0.573,0.521,0.528,0.565,0.565,0.514,0.55,0.528,0.528,0.55,0.543,0.573,0.55,0.573,0.528,0.528,0.588,0.573,0.521,0.558,0.528,0.528,0.573,0.453,0.604,0.596,0.58,0.493,0.493,0.521,0.543,0.459,0.514,0.55,0.473,0.514,0.543,0.543,0.5,0.227,0.182,0.301,0.291,0.291,0.17,0.161,0.191
AJ632270|Actinoplanes|CAG15010.1|teiB_A1|Dpg|A3,0.528,0.528,0.521,0.514,0.543,0.543,0.573,0.507,0.507,0.543,0.543,0.514,0.565,0.514,0.514,0.528,0.528,0.565,0.543,0.514,0.5,0.5,0.55,0.55,0.5,0.565,0.536,0.536,0.58,0.434,0.604,0.604,0.58,0.486,0.486,0.5,0.521,0.446,0.5,0.528,0.466,0.5,0.521,0.521,0.486,0.187,0.149,0.261,0.261,0.256,0.129,0.125,0.153,0.11
Teicoplanin|BGC0000440.1|CAE53351.1|tcp10_A1|Dpg|A3,0.521,0.528,0.514,0.507,0.536,0.536,0.565,0.5,0.507,0.543,0.543,0.507,0.558,0.514,0.514,0.521,0.521,0.558,0.536,0.514,0.493,0.493,0.55,0.543,0.493,0.565,0.528,0.528,0.573,0.427,0.604,0.596,0.573,0.479,0.479,0.5,0.521,0.44,0.493,0.521,0.459,0.493,0.514,0.514,0.479,0.182,0.145,0.256,0.256,0.251,0.125,0.121,0.149,0.106,0.003
A47934|BGC0000290.1|AAM80537.1|_A1|Hpg|A4,0.573,0.573,0.565,0.588,0.596,0.596,0.588,0.536,0.55,0.636,0.636,0.588,0.628,0.604,0.604,0.58,0.58,0.604,0.573,0.543,0.565,0.565,0.604,0.521,0.493,0.493,0.565,0.565,0.543,0.446,0.521,0.528,0.514,0.5,0.5,0.473,0.514,0.421,0.427,0.459,0.397,0.421,0.466,0.466,0.421,0.486,0.421,0.514,0.521,0.514,0.446,0.434,0.421,0.459,0.421,0.415
MQUP01000022|Amycolatopsis|OLZ50885.1|_A1||Hpg|A3,0.565,0.58,0.55,0.588,0.573,0.573,0.58,0.55,0.558,0.612,0.612,0.558,0.628,0.596,0.596,0.558,0.58,0.612,0.596,0.58,0.558,0.558,0.628,0.493,0.493,0.507,0.536,0.536,0.507,0.453,0.466,0.479,0.479,0.459,0.459,0.434,0.453,0.421,0.427,0.44,0.409,0.403,0.446,0.446,0.421,0.473,0.397,0.486,0.5,0.486,0.421,0.459,0.446,0.493,0.446,0.44,0.213
AJ632270|Actinoplanes|CAG15011.1|teiC_A1|Hpg|A4,0.565,0.573,0.55,0.588,0.573,0.573,0.596,0.558,0.558,0.645,0.645,0.58,0.612,0.612,0.612,0.58,0.596,0.636,0.612,0.558,0.565,0.565,0.645,0.486,0.466,0.486,0.528,0.528,0.528,0.415,0.486,0.5,0.493,0.44,0.44,0.434,0.466,0.391,0.421,0.446,0.397,0.397,0.453,0.453,0.397,0.44,0.367,0.44,0.44,0.44,0.397,0.391,0.385,0.397,0.373,0.367,0.187,0.182
Teicoplanin|BGC0000440.1|CAE53352.1|tcp11_A1|Hpg|A4,0.565,0.573,0.55,0.588,0.573,0.573,0.604,0.565,0.565,0.645,0.645,0.58,0.612,0.612,0.612,0.58,0.596,0.636,0.612,0.558,0.565,0.565,0.645,0.486,0.466,0.486,0.528,0.528,0.528,0.421,0.486,0.5,0.493,0.44,0.44,0.434,0.466,0.391,0.421,0.446,0.397,0.397,0.453,0.453,0.397,0.44,0.367,0.44,0.44,0.44,0.397,0.391,0.385,0.397,0.373,0.367,0.191,0.178,0.003
UK-68597|BGC0001178.1|AGS77309.1|_A1|Hpg|A4,0.565,0.558,0.558,0.573,0.588,0.588,0.612,0.558,0.558,0.636,0.636,0.588,0.62,0.588,0.588,0.558,0.58,0.62,0.596,0.55,0.55,0.55,0.596,0.521,0.479,0.536,0.528,0.528,0.528,0.459,0.5,0.5,0.493,0.453,0.453,0.466,0.493,0.421,0.427,0.434,0.403,0.409,0.434,0.434,0.397,0.427,0.356,0.44,0.446,0.44,0.367,0.391,0.391,0.385,0.356,0.35,0.17,0.191,0.129,0.125
Ristocetin|BGC0000418.1|AIE77059.1|_A1|Hpg|A4,0.596,0.604,0.628,0.645,0.653,0.653,0.604,0.588,0.596,0.688,0.688,0.588,0.645,0.628,0.628,0.596,0.604,0.653,0.62,0.62,0.636,0.636,0.662,0.5,0.479,0.5,0.536,0.536,0.5,0.44,0.507,0.521,0.514,0.466,0.466,0.446,0.466,0.397,0.446,0.466,0.403,0.409,0.453,0.453,0.427,0.565,0.434,0.514,0.528,0.514,0.473,0.473,0.486,0.507,0.459,0.453,0.223,0.141,0.196,0.191,0.187
LIWC01000005|Amycolatopsis|OKJ93018.1|_A1|Hpg|A2,0.604,0.604,0.62,0.645,0.653,0.653,0.636,0.612,0.612,0.67,0.67,0.596,0.62,0.62,0.62,0.588,0.596,0.645,0.604,0.588,0.62,0.62,0.645,0.543,0.5,0.507,0.543,0.543,0.536,0.44,0.528,0.55,0.543,0.5,0.5,0.493,0.514,0.446,0.479,0.486,0.44,0.434,0.479,0.479,0.453,0.536,0.44,0.521,0.536,0.521,0.486,0.493,0.5,0.5,0.459,0.459,0.227,0.141,0.213,0.209,0.209,0.059
Ristomycin|BGC0000419.1|AIG79241.1|_A1|Hpg|A4,0.588,0.588,0.604,0.628,0.636,0.636,0.62,0.596,0.596,0.662,0.662,0.58,0.612,0.604,0.604,0.573,0.58,0.628,0.596,0.573,0.604,0.604,0.628,0.536,0.5,0.507,0.536,0.536,0.521,0.446,0.528,0.55,0.543,0.486,0.486,0.493,0.514,0.446,0.466,0.479,0.44,0.434,0.466,0.466,0.453,0.521,0.427,0.521,0.528,0.521,0.479,0.5,0.507,0.486,0.446,0.446,0.227,0.141,0.209,0.204,0.2,0.059,0.019
MUXN01000025|Amycolatopsis|OOC02447.1|_A1|Hpg|A3,0.573,0.573,0.573,0.604,0.612,0.612,0.588,0.55,0.558,0.645,0.645,0.543,0.612,0.596,0.596,0.55,0.573,0.62,0.604,0.558,0.55,0.55,0.596,0.521,0.486,0.5,0.543,0.543,0.514,0.44,0.486,0.5,0.493,0.473,0.473,0.434,0.453,0.427,0.453,0.459,0.403,0.415,0.446,0.446,0.415,0.473,0.403,0.466,0.473,0.459,0.397,0.427,0.434,0.44,0.391,0.391,0.218,0.153,0.187,0.182,0.157,0.121,0.137,0.141
ANMG01000033|ANMG01000033|EMD26452.1|_A1|Hpg|A4,0.573,0.573,0.573,0.604,0.612,0.612,0.588,0.55,0.558,0.645,0.645,0.543,0.612,0.596,0.596,0.55,0.573,0.62,0.604,0.558,0.55,0.55,0.596,0.521,0.486,0.5,0.543,0.543,0.514,0.44,0.486,0.5,0.493,0.473,0.473,0.434,0.453,0.427,0.453,0.459,0.403,0.415,0.446,0.446,0.415,0.473,0.403,0.466,0.473,0.459,0.397,0.427,0.434,0.44,0.391,0.391,0.218,0.153,0.187,0.182,0.157,0.121,0.137,0.141,0
A40926|BGC0000289.1|CAD91212.1|dbv17_A1|Hpg|A4,0.514,0.514,0.536,0.55,0.558,0.558,0.543,0.493,0.493,0.596,0.596,0.528,0.565,0.558,0.558,0.521,0.528,0.573,0.55,0.521,0.558,0.558,0.573,0.5,0.446,0.473,0.486,0.486,0.486,0.446,0.5,0.514,0.5,0.459,0.459,0.453,0.473,0.403,0.409,0.459,0.409,0.421,0.44,0.44,0.403,0.486,0.373,0.459,0.473,0.466,0.385,0.397,0.409,0.434,0.379,0.379,0.178,0.187,0.165,0.161,0.137,0.145,0.157,0.153,0.165,0.165
Balhimycin|BGC0000311.1|CAC48361.1|bpsB_A1|Hpg|A4,0.521,0.565,0.58,0.588,0.588,0.588,0.58,0.543,0.55,0.628,0.628,0.565,0.588,0.58,0.58,0.536,0.55,0.588,0.565,0.58,0.55,0.55,0.588,0.507,0.486,0.5,0.507,0.507,0.5,0.427,0.536,0.55,0.528,0.44,0.44,0.459,0.473,0.409,0.415,0.453,0.391,0.409,0.421,0.421,0.415,0.514,0.403,0.486,0.5,0.486,0.427,0.44,0.453,0.44,0.403,0.397,0.2,0.196,0.191,0.187,0.174,0.161,0.165,0.157,0.182,0.182,0.137
LOBU02000007|Amycolatopsis|OKA09424.1|_A1|Hpg|A4,0.543,0.588,0.573,0.604,0.588,0.588,0.588,0.565,0.565,0.628,0.628,0.588,0.612,0.596,0.596,0.573,0.58,0.62,0.604,0.604,0.573,0.573,0.628,0.507,0.507,0.493,0.507,0.507,0.486,0.421,0.521,0.528,0.521,0.446,0.446,0.44,0.446,0.397,0.415,0.453,0.397,0.409,0.427,0.427,0.421,0.528,0.397,0.514,0.521,0.514,0.403,0.434,0.427,0.427,0.391,0.391,0.223,0.204,0.187,0.182,0.178,0.17,0.182,0.17,0.178,0.178,0.137,0.106
AOHO01000074|Amycolatopsis|EME52989.1|_A1|Hpg|A4,0.565,0.573,0.58,0.604,0.58,0.58,0.604,0.58,0.58,0.628,0.628,0.596,0.62,0.573,0.573,0.565,0.565,0.62,0.596,0.612,0.573,0.573,0.62,0.528,0.479,0.507,0.543,0.543,0.521,0.415,0.55,0.543,0.536,0.459,0.459,0.446,0.466,0.397,0.427,0.446,0.391,0.409,0.44,0.44,0.403,0.507,0.397,0.486,0.486,0.479,0.434,0.44,0.44,0.453,0.403,0.397,0.223,0.2,0.174,0.17,0.174,0.137,0.165,0.161,0.182,0.182,0.161,0.113,0.102
Vancomycin|BGC0000455.1|AEI58866.1|vcm3_A1|Hpg|A4,0.565,0.565,0.58,0.604,0.58,0.58,0.588,0.573,0.573,0.628,0.628,0.58,0.604,0.573,0.573,0.565,0.565,0.62,0.596,0.604,0.573,0.573,0.62,0.521,0.466,0.507,0.507,0.507,0.493,0.397,0.528,0.521,0.514,0.434,0.434,0.434,0.453,0.385,0.409,0.421,0.379,0.391,0.409,0.409,0.385,0.486,0.391,0.486,0.486,0.479,0.421,0.44,0.44,0.446,0.391,0.385,0.251,0.2,0.174,0.17,0.182,0.161,0.187,0.174,0.178,0.178,0.17,0.129,0.11,0.045
KC688274|Streptomyces|AGO98985.1|_A1|Hpg|A4,0.514,0.528,0.55,0.55,0.565,0.565,0.536,0.521,0.521,0.588,0.588,0.543,0.58,0.543,0.543,0.536,0.528,0.565,0.536,0.558,0.573,0.573,0.596,0.493,0.466,0.466,0.5,0.5,0.473,0.427,0.5,0.5,0.493,0.44,0.44,0.434,0.473,0.391,0.397,0.415,0.385,0.397,0.421,0.421,0.397,0.479,0.391,0.446,0.459,0.446,0.391,0.421,0.421,0.421,0.403,0.403,0.196,0.204,0.213,0.209,0.157,0.149,0.161,0.157,0.182,0.182,0.137,0.157,0.161,0.165,0.182
MQUQ01000006|Amycolatopsis|OLZ52457.1|_A1|Hpg|A3,0.565,0.58,0.588,0.612,0.62,0.62,0.58,0.558,0.565,0.628,0.628,0.543,0.604,0.58,0.58,0.528,0.588,0.62,0.588,0.58,0.565,0.565,0.604,0.514,0.5,0.5,0.55,0.55,0.536,0.44,0.486,0.486,0.486,0.473,0.473,0.446,0.453,0.44,0.446,0.459,0.421,0.434,0.466,0.466,0.44,0.493,0.403,0.479,0.486,0.473,0.453,0.453,0.44,0.466,0.415,0.415,0.204,0.141,0.191,0.187,0.17,0.137,0.133,0.137,0.121,0.121,0.149,0.149,0.178,0.17,0.187,0.165
AJ223999|AJ223999|CAA11795.1|_A1|Hpg|A4,0.573,0.573,0.604,0.62,0.628,0.628,0.612,0.573,0.565,0.653,0.653,0.588,0.612,0.58,0.58,0.543,0.573,0.612,0.58,0.573,0.573,0.573,0.573,0.528,0.493,0.5,0.543,0.543,0.536,0.44,0.536,0.536,0.528,0.466,0.466,0.466,0.486,0.409,0.453,0.44,0.403,0.409,0.453,0.453,0.421,0.507,0.391,0.493,0.486,0.479,0.453,0.434,0.427,0.453,0.397,0.397,0.196,0.196,0.2,0.196,0.157,0.149,0.133,0.133,0.157,0.157,0.133,0.095,0.121,0.117,0.141,0.149,0.117
Chloroeremomycin|BGC0000322.1|CAA11795.1|_A1|Hpg|A4,0.573,0.573,0.604,0.62,0.628,0.628,0.612,0.573,0.565,0.653,0.653,0.588,0.612,0.58,0.58,0.543,0.573,0.612,0.58,0.573,0.573,0.573,0.573,0.528,0.493,0.5,0.543,0.543,0.536,0.44,0.536,0.536,0.528,0.466,0.466,0.466,0.486,0.409,0.453,0.44,0.403,0.409,0.453,0.453,0.421,0.507,0.391,0.493,0.486,0.479,0.453,0.434,0.427,0.453,0.397,0.397,0.196,0.196,0.2,0.196,0.157,0.149,0.133,0.133,0.157,0.157,0.133,0.095,0.121,0.117,0.141,0.149,0.117,0
