,Balhimycin,UK-68597,LIWC01000005,AF386507,JMGX01000001,HM486075,MQUQ01000006,JJNO01000005,MQUP01000022,AJ632270,Ristocetin,EU874253,KC688274,Teicoplanin,Chloroeremomycin,ANMG01000033,AOHO01000074,KF264565,A40926,ANSJ01000022,MUXN01000025,Vancomycin,LOBU02000007,AJ223999,A47934,Ristomycin,LGSP01000035,JNAD01000004,Complestatin,Pekiskomycin
Teicoplanin,0.506883333333,0.03225,0.239428571429,0.491825,0.489575,0.261791666667,0.338395833333,0.489575,0.338895833333,0.000892857142857,0.273010416667,0.262260416667,0.382484126984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Chloroeremomycin,0.0261428571429,0.505958333333,0.427989583333,0.905279761905,0.903446428571,0.365444444444,0.3166875,0.903446428571,0.32190625,0.506458333333,0.376305555556,0.367527777778,0.5262,0.505783333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ANMG01000033,0.373666666667,0.274885416667,0.146345238095,0.861227272727,0.858227272727,0.0376071428571,0.108273809524,0.858227272727,0.114023809524,0.272885416667,0.0418571428571,0.0429642857143,0.499958333333,0.271822916667,0.370583333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AOHO01000074,0.03275,0.509233333333,0.429927083333,0.904738095238,0.902946428571,0.37225,0.32284375,0.902946428571,0.322625,0.508233333333,0.377833333333,0.375222222222,0.5282,0.507533333333,0.0329642857143,0.373694444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
KF264565,0.5255,0.37978968254,0.44715625,0.652021645022,0.650476190476,0.494283333333,0.456027777778,0.650476190476,0.458444444444,0.379706349206,0.500108333333,0.495608333333,0.0216428571429,0.378984126984,0.522975,0.498283333333,0.526625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A40926,0.61678030303,0.291995535714,0.41665625,0.45405,0.4526,0.404861111111,0.509611111111,0.4526,0.511444444444,0.286776785714,0.412388888889,0.404722222222,0.5314,0.286776785714,0.615916666667,0.414277777778,0.617303030303,0.531475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ANSJ01000022,0.897521428571,0.47953125,0.862125,0.189285714286,0.12175,0.84975,0.84421875,0.12175,0.844875,0.47540625,0.850638888889,0.84975,0.643476190476,0.47559375,0.898721428571,0.850611111111,0.898571428571,0.642920634921,0.44346875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MUXN01000025,0.31725,0.340708333333,0.213333333333,0.85735,0.85405,0.107523809524,0.0360416666667,0.85405,0.04275,0.339958333333,0.108666666667,0.111880952381,0.457361111111,0.339052083333,0.31378125,0.077380952381,0.31728125,0.4555,0.511888888889,0.8444375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Vancomycin,0.035,0.509358333333,0.430302083333,0.904592261905,0.902342261905,0.373805555556,0.32328125,0.902342261905,0.32278125,0.508308333333,0.378305555556,0.376527777778,0.528925,0.507608333333,0.0352142857143,0.373111111111,0.0112142857143,0.5273,0.616939393939,0.898421428571,0.316625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LOBU02000007,0.0316071428571,0.510883333333,0.431989583333,0.905092261905,0.903592261905,0.373027777778,0.32453125,0.903592261905,0.32575,0.510708333333,0.38025,0.376305555556,0.529625,0.509983333333,0.0346428571429,0.373805555556,0.0256428571429,0.5277,0.618393939394,0.900246428571,0.31740625,0.0268214285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AJ223999,0.0261428571429,0.505958333333,0.427989583333,0.905279761905,0.903446428571,0.365444444444,0.3166875,0.903446428571,0.32190625,0.506458333333,0.376305555556,0.367527777778,0.5262,0.505783333333,0.0,0.370583333333,0.0329642857143,0.522975,0.615916666667,0.898721428571,0.31378125,0.0352142857143,0.0346428571429,0.0,0.0,0.0,0.0,0.0,0.0,0
A47934,0.478575,0.132495535714,0.33675,0.4735,0.470777777778,0.350055555556,0.3073125,0.470777777778,0.3105,0.133526785714,0.35775,0.347805555556,0.356027777778,0.133120535714,0.4763,0.358527777778,0.4792,0.354083333333,0.338611111111,0.47934375,0.31271875,0.479925,0.4817,0.4763,0.0,0.0,0.0,0.0,0.0,0
Ristomycin,0.378,0.278854166667,0.114202380952,0.861272727273,0.858477272727,0.0385714285714,0.108416666667,0.858477272727,0.109238095238,0.273979166667,0.0100714285714,0.0420357142857,0.502108333333,0.272947916667,0.3755,0.0419285714286,0.378416666667,0.501083333333,0.411361111111,0.850416666667,0.109095238095,0.3785,0.380027777778,0.3755,0.358555555556,0.0,0.0,0.0,0.0,0
LGSP01000035,0.903571428571,0.514361111111,0.868722222222,0.245035714286,0.232035714286,0.869275,0.868916666667,0.232035714286,0.868388888889,0.51275,0.8732,0.869875,0.659751190476,0.51275,0.903866883117,0.871325,0.90288961039,0.660301190476,0.439972222222,0.176375,0.868138888889,0.903162337662,0.903275974026,0.903866883117,0.51378125,0.87155,0.0,0.0,0.0,0
JNAD01000004,0.905363095238,0.4957,0.870925,0.104142857143,0.0824285714286,0.859022727273,0.85665,0.0824285714286,0.8563,0.49265,0.861159090909,0.859295454545,0.653135281385,0.49265,0.905654761905,0.860863636364,0.904613095238,0.654112554113,0.454325,0.182464285714,0.85695,0.904342261905,0.904988095238,0.905654761905,0.475666666667,0.860409090909,0.222535714286,0.0,0.0,0
Complestatin,0.904842261905,0.493725,0.871675,0.0,0.0923928571429,0.861113636364,0.85675,0.0923928571429,0.8566,0.491825,0.862136363636,0.860409090909,0.651771645022,0.491825,0.905279761905,0.861227272727,0.904738095238,0.652021645022,0.45405,0.189285714286,0.85735,0.904592261905,0.905092261905,0.905279761905,0.4735,0.861272727273,0.245035714286,0.104142857143,0.0,0
Pekiskomycin,0.524675,0.380317460317,0.44584375,0.652158008658,0.650612554113,0.493358333333,0.455305555556,0.650612554113,0.459138888889,0.380234126984,0.499283333333,0.494683333333,0.0211428571429,0.379484126984,0.522425,0.497283333333,0.52565,0.01225,0.53,0.643087301587,0.454388888889,0.526725,0.52705,0.522425,0.353361111111,0.500108333333,0.659401190476,0.653635281385,0.652158008658,0
